factors,max_iter,reg,w0,alpha,top_k,train_interactions,test_interactions,user_count,item_count,final_loss,hr_at_k,ndcg_at_k,runtime_seconds
4,3,0.1,0.5,0.0,10,8120,1880,2979,4980,1214.7803557056272,0.005851063829787234,0.002726906528894109,0.8941407203674316
4,3,0.1,0.5,0.25,10,8120,1880,2979,4980,1224.1476403971717,0.006382978723404255,0.0028978470416532788,0.8460221290588379
4,3,0.1,0.5,0.5,10,8120,1880,2979,4980,1233.8714477631352,0.0047872340425531915,0.0025681822262636537,0.8964419364929199
4,3,0.1,0.5,0.75,10,8120,1880,2979,4980,1243.445920647484,0.005319148936170213,0.00299731097848767,0.8478846549987793
4,3,0.1,1.0,0.0,10,8120,1880,2979,4980,1401.7836551909488,0.006382978723404255,0.0031082621536355466,0.8537609577178955
4,3,0.1,1.0,0.25,10,8120,1880,2979,4980,1420.7205303887529,0.006914893617021276,0.003390042861163256,0.8500759601593018
4,3,0.1,1.0,0.5,10,8120,1880,2979,4980,1440.3330400035732,0.006382978723404255,0.003358671581947232,0.8464813232421875
4,3,0.1,1.0,0.75,10,8120,1880,2979,4980,1459.810172091734,0.006382978723404255,0.0031286691854514694,0.8462741374969482
4,3,0.1,2.0,0.0,10,8120,1880,2979,4980,1746.6509228728537,0.007978723404255319,0.003945147672117673,0.8487160205841064
4,3,0.1,2.0,0.25,10,8120,1880,2979,4980,1783.1435181338359,0.009042553191489361,0.00431845885153219,0.8545842170715332
4,3,0.1,2.0,0.5,10,8120,1880,2979,4980,1820.5918000916968,0.007978723404255319,0.004106512513156846,0.846264123916626
4,3,0.1,2.0,0.75,10,8120,1880,2979,4980,1857.3668684820618,0.007446808510638298,0.003502832620175894,1.3406310081481934
4,5,0.1,0.5,0.0,10,8120,1880,2979,4980,1016.4712960158608,0.006382978723404255,0.0030963787853106376,1.4402401447296143
4,5,0.1,0.5,0.25,10,8120,1880,2979,4980,1027.166820172706,0.006382978723404255,0.0031400493201539995,1.4223527908325195
4,5,0.1,0.5,0.5,10,8120,1880,2979,4980,1038.8094696709434,0.006914893617021276,0.003329521228190182,1.5147387981414795
4,5,0.1,0.5,0.75,10,8120,1880,2979,4980,1050.9481009307933,0.007446808510638298,0.003425465316753123,1.43644380569458
4,5,0.1,1.0,0.0,10,8120,1880,2979,4980,1221.4187140468566,0.007978723404255319,0.0037542320393685485,1.4417719841003418
4,5,0.1,1.0,0.25,10,8120,1880,2979,4980,1241.8610118790093,0.007978723404255319,0.0037605964911483856,1.4456870555877686
4,5,0.1,1.0,0.5,10,8120,1880,2979,4980,1263.3673638189566,0.007978723404255319,0.003946907324650176,1.4439070224761963
4,5,0.1,1.0,0.75,10,8120,1880,2979,4980,1284.8570659624756,0.006382978723404255,0.003125961050893656,1.4666950702667236
4,5,0.1,2.0,0.0,10,8120,1880,2979,4980,1597.9738436855835,0.007446808510638298,0.0037241251699973964,1.4254040718078613
4,5,0.1,2.0,0.25,10,8120,1880,2979,4980,1635.3270129947975,0.007446808510638298,0.003653337862638211,1.4461669921875
4,5,0.1,2.0,0.5,10,8120,1880,2979,4980,1672.725035755282,0.006382978723404255,0.0034973964455292292,1.4099199771881104
4,5,0.1,2.0,0.75,10,8120,1880,2979,4980,1707.8586140277084,0.006382978723404255,0.0028930059138169303,1.4017770290374756
8,3,0.1,0.5,0.0,10,8120,1880,2979,4980,1143.9963946442358,0.002127659574468085,0.000716803030556479,2.028032064437866
8,3,0.1,0.5,0.25,10,8120,1880,2979,4980,1148.0871796741044,0.002127659574468085,0.000687021548813467,2.0803210735321045
8,3,0.1,0.5,0.5,10,8120,1880,2979,4980,1151.529737208836,0.002127659574468085,0.0006991884923106419,2.057982921600342
8,3,0.1,0.5,0.75,10,8120,1880,2979,4980,1153.8269367020487,0.0015957446808510637,0.000526899210694328,2.057126760482788
8,3,0.1,1.0,0.0,10,8120,1880,2979,4980,1225.2204355615506,0.0015957446808510637,0.0005336955743001338,2.076838970184326
8,3,0.1,1.0,0.25,10,8120,1880,2979,4980,1235.5828061906857,0.0026595744680851063,0.0008880689309437896,2.0850670337677
8,3,0.1,1.0,0.5,10,8120,1880,2979,4980,1245.557960168615,0.002127659574468085,0.0007343110446044874,2.0483157634735107
8,3,0.1,1.0,0.75,10,8120,1880,2979,4980,1254.6250290874552,0.0015957446808510637,0.0005440818371141962,2.060019016265869
8,3,0.1,2.0,0.0,10,8120,1880,2979,4980,1402.485436207695,0.003723404255319149,0.0012616421671247844,2.103645086288452
8,3,0.1,2.0,0.25,10,8120,1880,2979,4980,1424.3004250520767,0.0026595744680851063,0.0009665343665592237,2.0799741744995117
8,3,0.1,2.0,0.5,10,8120,1880,2979,4980,1446.2555254253332,0.0026595744680851063,0.0010519720514812854,2.08644700050354
8,3,0.1,2.0,0.75,10,8120,1880,2979,4980,1467.357585647708,0.0026595744680851063,0.0012247389341478263,2.087223768234253
8,5,0.1,0.5,0.0,10,8120,1880,2979,4980,927.6422364776032,0.003723404255319149,0.0012833136087855785,3.541351318359375
8,5,0.1,0.5,0.25,10,8120,1880,2979,4980,932.6873787563525,0.003723404255319149,0.0013812713730587088,3.6345138549804688
8,5,0.1,0.5,0.5,10,8120,1880,2979,4980,938.1171631633786,0.0026595744680851063,0.00135323935638646,3.469209909439087
8,5,0.1,0.5,0.75,10,8120,1880,2979,4980,943.6696478003059,0.0026595744680851063,0.0014228828423287247,3.4736998081207275
8,5,0.1,1.0,0.0,10,8120,1880,2979,4980,1021.310934141619,0.003723404255319149,0.0014663168047377288,3.430267095565796
8,5,0.1,1.0,0.25,10,8120,1880,2979,4980,1031.1504886386947,0.003723404255319149,0.001668995217383812,3.4709081649780273
8,5,0.1,1.0,0.5,10,8120,1880,2979,4980,1041.6143426753067,0.0031914893617021275,0.0015303077484911084,3.381986141204834
